respondent_id,age_group,visit_purpose,companion,memorable_exhibit,experience_rating,primary_emotion,emotion_intensity,revisit_intention,is_romantic_context
R001,10代,デート,恋人・配偶者,その他,4,癒し,3,行きたい,True
R002,20代,その他,恋人・配偶者,ペンギン館,5,ロマンチック,4,ぜひ行きたい,True
R003,20代,その他,その他,熱帯魚トンネル,2,驚き,1,行きたくない,False
R004,30代,その他,友人,イルカショー,2,癒し,3,行きたくない,False
R005,10代,家族レジャー,家族,イルカショー,3,ワクワク,2,行きたくない,False
R006,50代以上,友人とのレジャー,その他,クラゲゾーン,3,ワクワク,4,どちらとも言えない,False
R007,10代,一人での観光,恋人・配偶者,クラゲゾーン,4,感動,5,ぜひ行きたい,True
R008,30代,家族レジャー,友人,熱帯魚トンネル,2,癒し,1,行きたくない,False
R009,10代,友人とのレジャー,家族,触れ合いプール,3,感動,2,行きたくない,False
R010,30代,家族レジャー,その他,その他,3,癒し,3,どちらとも言えない,False
R011,30代,その他,家族,熱帯魚トンネル,3,ワクワク,2,どちらとも言えない,False
R012,40代,友人とのレジャー,恋人・配偶者,その他,4,感動,3,どちらとも言えない,True
R013,50代以上,一人での観光,家族,熱帯魚トンネル,3,癒し,2,行きたくない,False
R014,10代,その他,一人,クラゲゾーン,3,癒し,2,行きたくない,False
R015,40代,デート,家族,熱帯魚トンネル,4,ワクワク,5,ぜひ行きたい,True
R016,50代以上,その他,一人,イルカショー,3,驚き,2,どちらとも言えない,False
R017,10代,友人とのレジャー,恋人・配偶者,その他,4,ワクワク,3,どちらとも言えない,True
R018,50代以上,友人とのレジャー,その他,触れ合いプール,3,驚き,2,行きたくない,False
R019,50代以上,家族レジャー,家族,イルカショー,3,癒し,4,行きたい,False
R020,10代,一人での観光,恋人・配偶者,ペンギン館,3,感動,3,行きたい,True
R021,20代,その他,恋人・配偶者,その他,3,ワクワク,2,どちらとも言えない,True
R022,20代,一人での観光,その他,触れ合いプール,3,感動,4,どちらとも言えない,False
R023,40代,家族レジャー,友人,触れ合いプール,4,特にない,5,行きたい,False
R024,10代,一人での観光,恋人・配偶者,触れ合いプール,4,癒し,3,どちらとも言えない,True
R025,20代,その他,家族,クラゲゾーン,3,ワクワク,2,どちらとも言えない,False
R026,20代,デート,友人,触れ合いプール,3,癒し,3,どちらとも言えない,True
R027,20代,家族レジャー,その他,クラゲゾーン,4,癒し,4,行きたい,False
R028,10代,デート,一人,その他,4,ワクワク,4,行きたい,True
R029,20代,デート,恋人・配偶者,ペンギン館,5,感動,4,ぜひ行きたい,True
R030,40代,その他,一人,ペンギン館,3,ロマンチック,2,行きたくない,False
R031,10代,デート,一人,ペンギン館,3,ロマンチック,4,行きたい,True
R032,10代,家族レジャー,一人,ペンギン館,4,ロマンチック,3,どちらとも言えない,False
R033,40代,一人での観光,恋人・配偶者,その他,5,感動,5,行きたい,True
R034,10代,その他,一人,触れ合いプール,3,癒し,3,行きたい,False
R035,50代以上,その他,恋人・配偶者,触れ合いプール,4,ロマンチック,3,どちらとも言えない,True
R036,20代,家族レジャー,恋人・配偶者,熱帯魚トンネル,3,癒し,2,どちらとも言えない,True
R037,40代,デート,その他,その他,4,ロマンチック,5,ぜひ行きたい,True
R038,20代,その他,その他,イルカショー,3,感動,2,行きたくない,False
R039,10代,一人での観光,家族,熱帯魚トンネル,3,ロマンチック,3,行きたい,False
R040,50代以上,その他,その他,イルカショー,2,ワクワク,3,どちらとも言えない,False
R041,20代,家族レジャー,友人,熱帯魚トンネル,2,癒し,2,行きたくない,False
R042,10代,その他,友人,ペンギン館,2,特にない,3,行きたくない,False
R043,50代以上,友人とのレジャー,恋人・配偶者,ペンギン館,3,癒し,3,どちらとも言えない,True
R044,10代,友人とのレジャー,家族,クラゲゾーン,3,驚き,3,どちらとも言えない,False
R045,30代,一人での観光,友人,ペンギン館,2,ワクワク,2,どちらとも言えない,False
R046,10代,一人での観光,その他,その他,4,驚き,3,行きたい,False
R047,40代,家族レジャー,その他,ペンギン館,2,感動,3,どちらとも言えない,False
R048,20代,デート,友人,その他,4,ロマンチック,4,ぜひ行きたい,True
R049,20代,デート,友人,熱帯魚トンネル,5,癒し,4,ぜひ行きたい,True
R050,30代,デート,家族,ペンギン館,4,ワクワク,5,ぜひ行きたい,True
R051,40代,デート,一人,イルカショー,3,ワクワク,2,どちらとも言えない,True
R052,40代,友人とのレジャー,家族,イルカショー,3,ワクワク,4,行きたい,False
R053,50代以上,友人とのレジャー,恋人・配偶者,イルカショー,4,感動,5,行きたい,True
R054,10代,デート,恋人・配偶者,クラゲゾーン,4,癒し,5,行きたい,True
R055,50代以上,その他,一人,触れ合いプール,3,特にない,3,どちらとも言えない,False
R056,10代,デート,一人,触れ合いプール,4,感動,3,どちらとも言えない,True
R057,50代以上,その他,家族,イルカショー,3,ロマンチック,2,行きたくない,False
R058,30代,デート,友人,触れ合いプール,4,ワクワク,4,行きたい,True
R059,50代以上,家族レジャー,家族,触れ合いプール,4,特にない,4,ぜひ行きたい,False
R060,40代,友人とのレジャー,一人,触れ合いプール,2,感動,2,どちらとも言えない,False
R061,50代以上,その他,友人,熱帯魚トンネル,4,ロマンチック,4,ぜひ行きたい,False
R062,30代,家族レジャー,恋人・配偶者,ペンギン館,4,感動,3,行きたい,True
R063,50代以上,家族レジャー,家族,クラゲゾーン,2,ワクワク,1,行きたくない,False
R064,40代,一人での観光,一人,熱帯魚トンネル,3,特にない,4,どちらとも言えない,False
R065,20代,家族レジャー,家族,その他,2,ワクワク,2,どちらとも言えない,False
R066,40代,その他,一人,ペンギン館,2,驚き,1,どちらとも言えない,False
R067,50代以上,一人での観光,その他,熱帯魚トンネル,3,ロマンチック,4,どちらとも言えない,False
R068,50代以上,家族レジャー,一人,熱帯魚トンネル,4,感動,3,どちらとも言えない,False
R069,20代,家族レジャー,友人,イルカショー,4,ワクワク,5,行きたい,False
R070,40代,友人とのレジャー,友人,その他,2,癒し,1,どちらとも言えない,False
R071,50代以上,家族レジャー,家族,熱帯魚トンネル,2,ロマンチック,2,行きたくない,False
R072,50代以上,一人での観光,恋人・配偶者,熱帯魚トンネル,4,ワクワク,4,ぜひ行きたい,True
R073,50代以上,一人での観光,恋人・配偶者,その他,4,感動,4,行きたい,True
R074,40代,その他,その他,熱帯魚トンネル,3,ロマンチック,2,行きたくない,False
R075,40代,デート,一人,ペンギン館,4,ワクワク,5,ぜひ行きたい,True
R076,10代,その他,その他,その他,2,ロマンチック,3,どちらとも言えない,False
R077,40代,一人での観光,家族,イルカショー,4,癒し,3,どちらとも言えない,False
R078,40代,家族レジャー,一人,イルカショー,3,感動,3,どちらとも言えない,False
R079,10代,デート,一人,その他,3,ロマンチック,3,行きたい,True
R080,20代,デート,恋人・配偶者,ペンギン館,4,癒し,3,行きたい,True
R081,30代,一人での観光,恋人・配偶者,ペンギン館,4,ワクワク,5,行きたい,True
R082,50代以上,その他,その他,クラゲゾーン,2,癒し,2,どちらとも言えない,False
R083,10代,友人とのレジャー,その他,触れ合いプール,4,ロマンチック,5,ぜひ行きたい,False
R084,30代,家族レジャー,恋人・配偶者,触れ合いプール,4,ロマンチック,5,ぜひ行きたい,True
R085,10代,一人での観光,友人,熱帯魚トンネル,2,驚き,3,行きたくない,False
R086,20代,一人での観光,恋人・配偶者,熱帯魚トンネル,5,感動,5,行きたい,True
R087,40代,家族レジャー,その他,熱帯魚トンネル,3,驚き,4,どちらとも言えない,False
R088,40代,その他,友人,ペンギン館,3,癒し,2,行きたくない,False
R089,30代,一人での観光,その他,ペンギン館,4,感動,3,どちらとも言えない,False
R090,50代以上,一人での観光,家族,その他,3,感動,3,どちらとも言えない,False
R091,20代,友人とのレジャー,その他,その他,2,驚き,1,どちらとも言えない,False
R092,40代,一人での観光,一人,クラゲゾーン,3,特にない,3,どちらとも言えない,False
R093,30代,デート,友人,その他,4,ワクワク,5,ぜひ行きたい,True
R094,40代,その他,友人,その他,4,驚き,5,行きたい,False
R095,30代,その他,友人,イルカショー,3,特にない,3,どちらとも言えない,False
R096,20代,家族レジャー,恋人・配偶者,ペンギン館,4,感動,3,行きたい,True
R097,20代,一人での観光,友人,イルカショー,3,ワクワク,2,行きたくない,False
R098,30代,家族レジャー,友人,クラゲゾーン,2,特にない,3,どちらとも言えない,False
R099,10代,デート,その他,クラゲゾーン,4,癒し,5,行きたい,True
R100,20代,その他,友人,クラゲゾーン,4,ロマンチック,4,行きたい,False
R101,10代,友人とのレジャー,一人,触れ合いプール,2,ワクワク,2,行きたくない,False
R102,10代,デート,家族,触れ合いプール,4,感動,3,行きたい,True
R103,40代,一人での観光,その他,イルカショー,3,驚き,3,どちらとも言えない,False
R104,50代以上,その他,一人,その他,3,驚き,4,行きたい,False
R105,20代,デート,家族,ペンギン館,4,感動,5,ぜひ行きたい,True
R106,40代,家族レジャー,その他,その他,2,癒し,1,行きたくない,False
R107,30代,その他,一人,その他,3,ワクワク,2,行きたくない,False
R108,40代,一人での観光,恋人・配偶者,クラゲゾーン,4,感動,5,ぜひ行きたい,True
R109,10代,その他,家族,ペンギン館,3,感動,2,どちらとも言えない,False
R110,30代,友人とのレジャー,その他,その他,3,ロマンチック,2,行きたくない,False
R111,40代,一人での観光,友人,その他,4,ロマンチック,3,行きたい,False
R112,50代以上,友人とのレジャー,その他,触れ合いプール,3,ワクワク,2,どちらとも言えない,False
R113,30代,デート,友人,ペンギン館,3,癒し,3,どちらとも言えない,True
R114,40代,その他,一人,イルカショー,4,ワクワク,4,行きたい,False
R115,30代,友人とのレジャー,恋人・配偶者,その他,4,感動,4,行きたい,True
R116,30代,一人での観光,その他,イルカショー,2,ロマンチック,1,行きたくない,False
R117,20代,デート,一人,触れ合いプール,3,ワクワク,3,行きたい,True
R118,20代,友人とのレジャー,その他,イルカショー,4,特にない,4,ぜひ行きたい,False
R119,10代,その他,家族,クラゲゾーン,3,ロマンチック,4,どちらとも言えない,False
R120,50代以上,その他,家族,熱帯魚トンネル,3,感動,4,行きたい,False
