respondent_id,age_group,visit_purpose,companion,memorable_exhibit,experience_rating,primary_emotion,emotion_intensity,revisit_intention
R001,10代,デート,恋人・配偶者,その他,4,癒し,3,行きたい
R002,20代,その他,恋人・配偶者,ペンギン館,5,ロマンチック,4,ぜひ行きたい
R003,20代,その他,その他,熱帯魚トンネル,2,驚き,1,行きたくない
R004,30代,その他,友人,イルカショー,2,癒し,3,行きたくない
R005,10代,家族レジャー,家族,イルカショー,3,ワクワク,2,行きたくない
R006,50代以上,友人とのレジャー,その他,クラゲゾーン,3,ワクワク,4,どちらとも言えない
R007,10代,一人での観光,恋人・配偶者,クラゲゾーン,4,感動,5,ぜひ行きたい
R008,30代,家族レジャー,友人,熱帯魚トンネル,2,癒し,1,行きたくない
R009,10代,友人とのレジャー,家族,触れ合いプール,3,感動,2,行きたくない
R010,30代,家族レジャー,その他,その他,3,癒し,3,どちらとも言えない
R011,30代,その他,家族,熱帯魚トンネル,3,ワクワク,2,どちらとも言えない
R012,40代,友人とのレジャー,恋人・配偶者,その他,4,感動,3,どちらとも言えない
R013,50代以上,一人での観光,家族,熱帯魚トンネル,3,癒し,2,行きたくない
R014,10代,その他,一人,クラゲゾーン,3,癒し,2,行きたくない
R015,40代,デート,家族,熱帯魚トンネル,4,ワクワク,5,ぜひ行きたい
R016,50代以上,その他,一人,イルカショー,3,驚き,2,どちらとも言えない
R017,10代,友人とのレジャー,恋人・配偶者,その他,4,ワクワク,3,どちらとも言えない
R018,50代以上,友人とのレジャー,その他,触れ合いプール,3,驚き,2,行きたくない
R019,50代以上,家族レジャー,家族,イルカショー,3,癒し,4,行きたい
R020,10代,一人での観光,恋人・配偶者,ペンギン館,3,感動,3,行きたい
R021,20代,その他,恋人・配偶者,その他,3,ワクワク,2,どちらとも言えない
R022,20代,一人での観光,その他,触れ合いプール,3,感動,4,どちらとも言えない
R023,40代,家族レジャー,友人,触れ合いプール,4,特にない,5,行きたい
R024,10代,一人での観光,恋人・配偶者,触れ合いプール,4,癒し,3,どちらとも言えない
R025,20代,その他,家族,クラゲゾーン,3,ワクワク,2,どちらとも言えない
R026,20代,デート,友人,触れ合いプール,3,癒し,3,どちらとも言えない
R027,20代,家族レジャー,その他,クラゲゾーン,4,癒し,4,行きたい
R028,10代,デート,一人,その他,4,ワクワク,4,行きたい
R029,20代,デート,恋人・配偶者,ペンギン館,5,感動,4,ぜひ行きたい
R030,40代,その他,一人,ペンギン館,3,ロマンチック,2,行きたくない
R031,10代,デート,一人,ペンギン館,3,ロマンチック,4,行きたい
R032,10代,家族レジャー,一人,ペンギン館,4,ロマンチック,3,どちらとも言えない
R033,40代,一人での観光,恋人・配偶者,その他,5,感動,5,行きたい
R034,10代,その他,一人,触れ合いプール,3,癒し,3,行きたい
R035,50代以上,その他,恋人・配偶者,触れ合いプール,4,ロマンチック,3,どちらとも言えない
R036,20代,家族レジャー,恋人・配偶者,熱帯魚トンネル,3,癒し,2,どちらとも言えない
R037,40代,デート,その他,その他,4,ロマンチック,5,ぜひ行きたい
R038,20代,その他,その他,イルカショー,3,感動,2,行きたくない
R039,10代,一人での観光,家族,熱帯魚トンネル,3,ロマンチック,3,行きたい
R040,50代以上,その他,その他,イルカショー,2,ワクワク,3,どちらとも言えない
R041,20代,家族レジャー,友人,熱帯魚トンネル,2,癒し,2,行きたくない
R042,10代,その他,友人,ペンギン館,2,特にない,3,行きたくない
R043,50代以上,友人とのレジャー,恋人・配偶者,ペンギン館,3,癒し,3,どちらとも言えない
R044,10代,友人とのレジャー,家族,クラゲゾーン,3,驚き,3,どちらとも言えない
R045,30代,一人での観光,友人,ペンギン館,2,ワクワク,2,どちらとも言えない
R046,10代,一人での観光,その他,その他,4,驚き,3,行きたい
R047,40代,家族レジャー,その他,ペンギン館,2,感動,3,どちらとも言えない
R048,20代,デート,友人,その他,4,ロマンチック,4,ぜひ行きたい
